,Unnamed: 0.1,Unnamed: 0,Symbol,trade,Trade ID,entry_date,exit_date,entry_price,exit_price,qty
0,0,0,AARTIIND,long,3260,2020-01-09 11:45:00,2020-01-10 13:15:00,449.5,434.5,222
1,1,1,AARTIIND,long,3421,2020-01-29 09:15:00,2020-02-03 09:45:00,469.48,494.0,213
2,2,2,AARTIIND,long,4926,2020-07-24 09:15:00,2020-07-24 14:15:00,468.45,475.73,213
3,3,3,AARTIIND,long,5064,2020-08-10 11:45:00,2020-08-11 14:45:00,544.28,515.0,183
4,4,4,AARTIIND,long,5849,2020-11-05 10:45:00,2020-11-10 09:45:00,531.0,562.97,188
5,5,5,AARTIIND,long,6303,2021-01-01 09:15:00,2021-01-06 10:15:00,632.4,656.03,158
6,6,6,AARTIIND,long,7335,2021-05-05 14:15:00,2021-05-07 13:45:00,844.5,857.2,118
7,7,7,AARTIIND,long,7612,2021-06-09 09:15:00,2021-06-14 09:45:00,906.28,922.35,110
8,8,8,AARTIIND,long,7982,2021-07-23 12:45:00,2021-07-28 10:45:00,890.75,873.85,112
9,9,9,AARTIIND,long,9028,2021-11-25 11:45:00,2021-11-30 09:15:00,950.6,943.3,105
10,10,10,AARTIIND,long,9059,2021-12-02 11:45:00,2021-12-07 09:15:00,965.3,961.3,103
11,11,11,AARTIIND,long,10121,2022-04-04 13:45:00,2022-04-06 11:15:00,974.0,973.75,102
12,12,12,AARTIIND,long,11511,2022-09-12 10:45:00,2022-09-15 09:15:00,880.65,908.7,113
13,0,0,ABCAPITAL,long,4501,2020-06-03 09:15:00,2020-06-08 09:15:00,52.75,58.1,1895
14,1,1,ABCAPITAL,long,4644,2020-06-23 09:15:00,2020-06-23 13:15:00,60.35,62.55,1657
15,2,2,ABCAPITAL,long,6781,2021-02-16 09:15:00,2021-02-16 11:45:00,96.0,99.1,1041
16,3,3,ABCAPITAL,long,7215,2021-04-08 09:15:00,2021-04-09 13:45:00,129.05,124.25,774
17,4,4,ABCAPITAL,long,7466,2021-05-11 09:15:00,2021-05-17 09:15:00,123.9,126.8,807
18,5,5,ABCAPITAL,long,7474,2021-05-17 13:15:00,2021-05-20 09:45:00,125.4,127.65,797
19,6,6,ABCAPITAL,long,8474,2021-09-08 09:15:00,2021-09-14 09:15:00,114.3,114.25,874
20,7,7,ABCAPITAL,long,8957,2021-11-08 14:45:00,2021-11-11 10:15:00,107.55,108.75,929
21,8,8,ABCAPITAL,long,9085,2021-11-26 09:15:00,2021-12-01 09:15:00,110.65,109.4,903
22,9,9,ABCAPITAL,long,9111,2021-12-03 09:15:00,2021-12-08 09:15:00,114.1,118.0,876
23,10,10,ABCAPITAL,long,9137,2021-12-10 09:15:00,2021-12-14 09:15:00,125.5,122.5,796
24,11,11,ABCAPITAL,long,9410,2022-01-12 09:15:00,2022-01-17 09:45:00,136.35,134.55,733
25,12,12,ABCAPITAL,long,11064,2022-07-21 11:15:00,2022-07-26 09:15:00,98.8,103.25,1012
26,13,13,ABCAPITAL,long,11085,2022-07-27 13:15:00,2022-07-29 13:45:00,103.1,105.95,969
27,14,14,ABCAPITAL,long,11209,2022-08-16 10:45:00,2022-08-19 09:15:00,113.15,113.0,883
28,15,15,ABCAPITAL,long,11809,2022-10-28 09:15:00,2022-11-02 09:15:00,118.05,118.4,847
29,16,16,ABCAPITAL,long,12030,2022-11-28 09:15:00,2022-12-01 10:45:00,136.75,144.7,731
30,0,0,ABFRL,long,3645,2020-02-20 09:15:00,2020-02-25 12:45:00,278.95,271.95,358
31,1,1,ABFRL,long,4429,2020-05-29 09:15:00,2020-06-01 13:15:00,120.3,128.7,831
32,2,2,ABFRL,long,5147,2020-08-17 14:45:00,2020-08-20 09:45:00,133.4,139.35,749
33,3,3,ABFRL,long,5708,2020-10-21 10:45:00,2020-10-21 13:45:00,149.05,148.6,670
34,4,4,ABFRL,long,5710,2020-10-21 14:45:00,2020-10-23 14:15:00,151.6,168.35,659
35,5,5,ABFRL,long,6415,2021-01-13 09:15:00,2021-01-15 11:45:00,176.8,176.75,565
36,6,6,ABFRL,long,7817,2021-06-25 12:15:00,2021-06-29 09:45:00,215.65,215.7,463
37,7,7,ABFRL,long,9568,2022-01-12 12:15:00,2022-01-17 09:15:00,306.25,308.4,326
38,8,8,ABFRL,long,9572,2022-01-17 11:15:00,2022-01-20 09:15:00,312.6,316.9,319
39,9,9,ABFRL,long,10155,2022-03-28 14:45:00,2022-03-31 09:15:00,300.3,302.95,333
40,10,10,ABFRL,long,11624,2022-09-14 09:15:00,2022-09-16 10:45:00,332.65,332.5,300
41,11,11,ABFRL,long,11663,2022-09-21 10:45:00,2022-09-23 14:45:00,346.4,334.95,288
42,0,0,ACC,long,3281,2020-01-13 09:15:00,2020-01-15 10:45:00,1518.0,1499.4,65
43,1,1,ACC,long,4979,2020-07-28 09:15:00,2020-07-31 10:45:00,1386.65,1422.75,72
44,2,2,ACC,long,5554,2020-10-01 12:15:00,2020-10-07 09:15:00,1414.55,1449.3,70
45,3,3,ACC,long,5676,2020-10-20 11:45:00,2020-10-23 11:15:00,1588.5,1625.05,62
46,4,4,ACC,long,5945,2020-11-24 09:15:00,2020-11-25 14:45:00,1732.3,1665.8,57
47,5,5,ACC,long,7487,2021-05-24 13:45:00,2021-05-27 09:45:00,1993.9,1975.8,50
48,6,6,ACC,long,8331,2021-08-30 09:15:00,2021-09-02 09:15:00,2362.8,2469.0,42
49,7,7,ACC,long,8340,2021-09-02 13:45:00,2021-09-07 09:15:00,2444.2,2481.0,40
50,8,8,ACC,long,9710,2022-02-09 09:45:00,2022-02-11 14:15:00,2330.2,2241.25,42
51,9,9,ACC,long,11641,2022-09-20 11:15:00,2022-09-21 10:15:00,2733.1,2602.0,36
52,10,10,ACC,long,11979,2022-11-01 09:15:00,2022-11-04 09:15:00,2402.8,2473.1,41
53,11,11,ACC,long,12174,2022-11-28 09:15:00,2022-12-01 09:45:00,2534.0,2583.65,39
54,0,0,ADANIENT,long,3399,2020-01-24 09:45:00,2020-01-29 09:15:00,226.5,232.65,441
55,1,1,ADANIENT,long,3516,2020-02-11 09:15:00,2020-02-14 09:15:00,246.6,253.95,405
56,2,2,ADANIENT,long,5009,2020-08-05 09:15:00,2020-08-10 09:15:00,182.55,195.35,547
57,3,3,ADANIENT,long,5061,2020-08-14 09:15:00,2020-08-14 13:45:00,202.7,195.3,493
58,4,4,ADANIENT,long,5228,2020-09-02 12:45:00,2020-09-07 09:15:00,290.15,286.45,344
59,5,5,ADANIENT,long,5511,2020-10-07 14:15:00,2020-10-08 14:45:00,332.15,315.8,301
60,6,6,ADANIENT,long,5981,2020-12-02 09:15:00,2020-12-07 09:15:00,426.0,450.4,234
61,7,7,ADANIENT,long,6319,2021-01-13 09:15:00,2021-01-15 13:45:00,535.8,522.45,186
62,8,8,ADANIENT,long,6492,2021-02-05 09:15:00,2021-02-10 10:45:00,594.5,635.55,168
63,9,9,ADANIENT,long,6501,2021-02-10 15:15:00,2021-02-15 09:15:00,654.0,718.25,152
64,10,10,ADANIENT,long,6502,2021-02-15 09:45:00,2021-02-15 14:15:00,734.25,773.0,136
65,11,11,ADANIENT,long,7191,2021-05-07 09:15:00,2021-05-12 09:15:00,1294.0,1307.95,77
66,12,12,ADANIENT,long,7373,2021-06-02 09:15:00,2021-06-07 09:15:00,1441.85,1659.0,69
67,13,13,ADANIENT,long,8119,2021-08-27 11:45:00,2021-09-01 09:45:00,1506.45,1580.9,66
68,14,14,ADANIENT,long,8707,2021-11-09 09:15:00,2021-11-12 09:15:00,1591.75,1682.15,62
69,15,15,ADANIENT,long,8718,2021-11-12 14:45:00,2021-11-17 09:15:00,1702.0,1716.6,58
70,16,16,ADANIENT,long,8859,2021-12-02 14:45:00,2021-12-06 13:15:00,1733.95,1674.1,57
71,17,17,ADANIENT,long,9247,2022-01-17 12:15:00,2022-01-20 09:15:00,1895.5,1861.7,52
72,18,18,ADANIENT,long,9849,2022-03-30 11:15:00,2022-04-04 09:15:00,1973.15,2051.55,50
73,19,19,ADANIENT,long,9854,2022-04-04 11:45:00,2022-04-05 11:15:00,2065.45,2115.15,48
74,20,20,ADANIENT,long,9857,2022-04-05 12:45:00,2022-04-07 14:45:00,2132.0,2097.0,46
75,21,21,ADANIENT,long,9963,2022-04-22 09:15:00,2022-04-27 09:45:00,2293.95,2370.6,43
76,22,22,ADANIENT,long,10707,2022-07-18 11:15:00,2022-07-21 09:15:00,2434.4,2481.35,41
77,23,23,ADANIENT,long,10798,2022-08-01 09:15:00,2022-08-04 09:15:00,2600.0,2738.0,38
78,24,24,ADANIENT,long,10872,2022-08-12 13:45:00,2022-08-16 10:15:00,2861.3,2905.0,34
79,25,25,ADANIENT,long,10874,2022-08-16 11:15:00,2022-08-19 09:15:00,2936.6,3224.0,34
80,26,26,ADANIENT,long,11024,2022-09-06 12:45:00,2022-09-09 09:15:00,3443.75,3491.0,29
81,0,0,ADANIGREEN,long,4052,2020-04-09 12:15:00,2020-04-16 09:15:00,171.75,193.1,582
82,1,1,ADANIGREEN,long,4176,2020-04-29 12:45:00,2020-05-04 09:15:00,205.75,200.5,486
83,2,2,ADANIGREEN,long,4248,2020-05-11 12:45:00,2020-05-14 10:45:00,215.2,228.25,464
84,3,3,ADANIGREEN,long,5038,2020-08-10 09:15:00,2020-08-11 09:15:00,383.15,366.7,260
85,4,4,ADANIGREEN,long,5220,2020-08-31 09:15:00,2020-08-31 11:15:00,473.95,429.45,210
86,5,5,ADANIGREEN,long,6308,2020-12-31 09:15:00,2021-01-05 10:15:00,1080.9,1076.3,92
